STATION CODE,LOCATIONS,TEMPERATURE,pH,CONDUCTIVITY,BOD,NITRATE,YEAR
2069,BRAHMPUTRA NR WATER INTAKE POINT AT KACHARIGHAT PANBAZAR GUWAHATI,30.00,8.00,205,2.80,0.46,2012
2064,BRAHMAPUTRA AT CHANDRAPUR GUWAHATICHANDRAPUR,32.00,7.70,359,1.00,0.31,2012
1528,BHARALU RIVER AT GUWAHATI,27.00,7.27,799,50.0,2.36,2012
2216,DIGHALI PUKHURI GUWAHATI,31.00,9.00,245,14.4,1.71,2012
1528,BHARALU RIVER AT GUWAHATI,29.00,7.10,954,50.0,13.0,2015
2216,DIGHALI PUKHURI GUWAHATI,32.00,10.0,343,13.0,2.90,2015
2217,SUBHAGYA KUA POND KAMAKHYA TEMPLE GUWAHATI,30.00,7.30,694,7.00,2.50,2015
2218,DEEPAR BEEL AT BORAGAON NEAR IASST GUWAHATI,30.00,7.10,161,14.5,2.30,2015
1541,GUWAHATI ASSAM,25.00,6.60,664,3.40,8.70,2015
2252,GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI,26.00,6.90,257,1.00,1.00,2015
2069,BRAHMPUTRA NEAR WATER INTAKE POINT AT KACHARIGHAT PANBAZAR GUWAHATI,28.00,8.40,153,2.40,0.60,2016
2064,BRAHMAPUTRA RIVER AT CHANDRAPUR GUWAHATI,29.00,8.10,104,4.70,2.00,2016
1528,BHARALU AT GUWAHAT,32.00,7.60,794,52.0,8.90,2016
1541,GUWAHATI,29.00,7.20,271,5.20,0.20,2016
1542,GUWAHATI,25.00,6.70,627,6.60,10.3,2016
2252,GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI,26.00,6.80,375,1.30,1.00,2016
2216,DIGHALI PUKHURI GUWAHAT,30.00,9.60,227,10.6,1.80,2016
2217,SUBHAGYA KUNDA POND KAMAKHYA TEMPLE GUWAHATI,31.00,8.20,468,10.4,1.40,2016
